Sl.No,Meter No,RFID,X Coordinate,Y Coordinate,METER_ADDRESS,Pipe size
367,PMC1518019636,10130333214,18.587647,73.86105,1013-033-3214,15
368,PMC1518019637,10130333215,18.587647,73.86105,1013-033-3215,15
369,PMC1519033760,10110694073,18.588073,73.863586,1011-069-4073,15
370,PMC1518019661,10130333239,18.588064000000003,73.863606,1013-033-3239,15
371,PMC1518019988,10130333566,18.588063000000002,73.86330699999999,1013-033-3566,15
372,PMC1518008718,10130299733,18.588286,73.863417,1013-029-9733,15
373,PMC1518019026,10130332604,18.588281,73.863344,1013-033-2604,15
374,PMC1518019038,10130332616,18.587115,73.860677,1013-033-2616,15
375,PMC1518019077,10130332655,18.586986,73.860618,1013-033-2655,15
376,PMC1518019080,10130332658,18.586721,73.860642,1013-033-2658,15
377,PMC1518019101,10130332679,18.58704,73.860712,1013-033-2679,15
378,PMC1518019102,10130332680,18.586853,73.860629,1013-033-2680,15
379,PMC1518019103,10130332681,18.586843,73.860729,1013-033-2681,15
380,PMC1518019104,10130332682,18.586843,73.860729,1013-033-2682,15
381,PMC1518019105,10130332683,18.586793,73.860639,1013-033-2683,15
382,PMC1518019106,10130332684,18.5870591,73.86070550000001,1013-033-2684,15
383,PMC1518019107,10130332685,18.58751,73.86070699999999,1013-033-2685,15
384,PMC1518019108,10130332686,18.58751,73.86070699999999,1013-033-2686,15
385,PMC1518019109,10130332687,18.586793,73.860639,1013-033-2687,15
386,PMC1518019110,10130332688,18.587126,73.860591,1013-033-2688,15
387,PMC1518019121,10130332699,18.586853,73.860629,1013-033-2699,15
388,PMC1518019122,10130332700,18.587106,73.86055,1013-033-2700,15
389,PMC1518019124,10130332702,18.587342,73.860559,1013-033-2702,15
390,PMC1518019125,10130332703,18.587583,73.86062199999999,1013-033-2703,15
391,PMC1518019126,10130332704,18.587075,73.86070500000001,1013-033-2704,15
392,PMC1518019127,10130332705,18.587106,73.86055,1013-033-2705,15
393,PMC1518019128,10130332706,18.587115,73.860677,1013-033-2706,15
394,PMC1518019129,10130332707,18.587581,73.860541,1013-033-2707,15
395,PMC1518019130,10130332708,18.587583,73.86062199999999,1013-033-2708,15
396,PMC1518008715,10130299730,18.5863701,73.8624298,1013-029-9730,15
397,PMC1518018944,10130332522,18.586951100000004,73.86235129999999,1013-033-2522,15
398,PMC1518018945,10130332523,18.586951100000004,73.86235129999999,1013-033-2523,15
399,PMC1518018946,10130332524,18.587194,73.862219,1013-033-2524,15
400,PMC1518018991,10130332569,18.5867563,73.862296,1013-033-2569,15
401,PMC1518018992,10130332570,18.5866908,73.86230040000001,1013-033-2570,15
402,PMC1518018995,10130332573,18.586873800000003,73.8622632,1013-033-2573,15
403,PMC1518018997,10130332575,18.5872075,73.86231509999999,1013-033-2575,15
404,PMC1518018999,10130332577,18.5867432,73.8622789,1013-033-2577,15
405,PMC1518019000,10130332578,18.586438100000002,73.8623413,1013-033-2578,15
406,PMC1518019571,10130333149,18.5871141,73.8623242,1013-033-3149,15
407,PMC1518008714,10130299729,18.5870073,73.8622672,1013-029-9729,15
408,PMC1518019580,10130333158,18.5871141,73.8623242,1013-033-3158,15
409,PMC1518019031,10130332609,18.589873,73.862971,1013-033-2609,15
